depth,start,count,visits,useful,node_id
0,0,0,360000,333353,0
1,0,0,248400,165208,1
2,0,0,11733,2123,2
3,0,0,7275,2123,3
4,0,0,1464,842,4
5,0,0,1181,761,5
6,0,0,14,3,6
7,0,1,0,0,7
7,1,2,14,3,8
6,0,0,1181,761,9
7,3,2,92,36,10
7,5,2,1074,725,11
5,0,0,660,98,12
6,0,0,351,98,13
7,7,1,152,79,14
7,8,2,199,19,15
6,0,0,203,3,16
7,10,2,177,3,17
7,12,2,0,0,18
4,0,0,6362,1318,19
5,0,0,1959,1166,20
6,0,0,374,0,21
7,14,1,354,0,22
7,15,2,20,0,23
6,0,0,1959,1166,24
7,17,2,517,317,25
7,19,2,1745,849,26
5,0,0,3703,170,27
6,0,0,1083,170,28
7,21,2,231,31,29
7,23,2,839,161,30
6,0,0,0,0,31
7,25,2,0,0,32
7,27,2,0,0,33
3,0,0,11733,0,34
4,0,0,0,0,35
5,0,0,0,0,36
6,0,0,0,0,37
7,29,1,0,0,38
7,30,2,0,0,39
6,0,0,0,0,40
7,32,2,0,0,41
7,34,2,0,0,42
5,0,0,0,0,43
6,0,0,0,0,44
7,36,2,0,0,45
7,38,2,0,0,46
6,0,0,0,0,47
7,40,2,0,0,48
7,42,2,0,0,49
4,0,0,0,0,50
5,0,0,0,0,51
6,0,0,0,0,52
7,44,1,0,0,53
7,45,2,0,0,54
6,0,0,0,0,55
7,47,2,0,0,56
7,49,2,0,0,57
5,0,0,0,0,58
6,0,0,0,0,59
7,51,2,0,0,60
7,53,2,0,0,61
6,0,0,0,0,62
7,55,2,0,0,63
7,57,2,0,0,64
2,0,0,248400,163085,65
3,0,0,4474,0,66
4,0,0,0,0,67
5,0,0,0,0,68
6,0,0,0,0,69
7,59,1,0,0,70
7,60,2,0,0,71
6,0,0,0,0,72
7,62,2,0,0,73
7,64,2,0,0,74
5,0,0,0,0,75
6,0,0,0,0,76
7,66,2,0,0,77
7,68,2,0,0,78
6,0,0,0,0,79
7,70,2,0,0,80
7,72,2,0,0,81
4,0,0,4474,0,82
5,0,0,0,0,83
6,0,0,0,0,84
7,74,1,0,0,85
7,75,2,0,0,86
6,0,0,0,0,87
7,77,2,0,0,88
7,79,2,0,0,89
5,0,0,2183,0,90
6,0,0,0,0,91
7,81,2,0,0,92
7,83,2,0,0,93
6,0,0,1201,0,94
7,85,2,1052,0,95
7,87,2,0,0,96
3,0,0,248400,163085,97
4,0,0,142560,82419,98
5,0,0,15892,3606,99
6,0,0,0,0,100
7,89,1,0,0,101
7,90,2,0,0,102
6,0,0,11888,3606,103
7,92,2,6045,3606,104
7,94,2,0,0,105
5,0,0,132220,78813,106
6,0,0,67242,55200,107
7,96,2,66421,55200,108
7,98,2,40,0,109
6,0,0,79605,29394,110
7,100,2,14910,8268,111
7,102,2,61637,21229,112
4,0,0,199179,82028,113
5,0,0,20545,4398,114
6,0,0,7152,4398,115
7,104,1,0,0,116
7,105,2,7152,4398,117
6,0,0,16999,0,118
7,107,2,0,0,119
7,109,2,0,0,120
5,0,0,164864,77630,121
6,0,0,83575,37479,122
7,111,2,0,0,123
7,113,2,83575,37479,124
6,0,0,81876,42864,125
7,115,2,0,0,126
7,117,2,55668,42864,127
1,0,0,360000,168788,128
2,0,0,13692,0,129
3,0,0,13692,0,130
4,0,0,0,0,131
5,0,0,0,0,132
6,0,0,0,0,133
7,119,1,0,0,134
7,120,2,0,0,135
6,0,0,0,0,136
7,122,2,0,0,137
7,124,2,0,0,138
5,0,0,0,0,139
6,0,0,0,0,140
7,126,2,0,0,141
7,128,2,0,0,142
6,0,0,0,0,143
7,130,2,0,0,144
7,132,2,0,0,145
4,0,0,13692,0,146
5,0,0,0,0,147
6,0,0,0,0,148
7,134,1,0,0,149
7,135,2,0,0,150
6,0,0,0,0,151
7,137,2,0,0,152
7,139,2,0,0,153
5,0,0,0,0,154
6,0,0,0,0,155
7,141,2,0,0,156
7,143,2,0,0,157
6,0,0,0,0,158
7,145,2,0,0,159
7,147,2,0,0,160
3,0,0,0,0,161
4,0,0,0,0,162
5,0,0,0,0,163
6,0,0,0,0,164
7,149,1,0,0,165
7,150,2,0,0,166
6,0,0,0,0,167
7,152,2,0,0,168
7,154,2,0,0,169
5,0,0,0,0,170
6,0,0,0,0,171
7,156,2,0,0,172
7,158,2,0,0,173
6,0,0,0,0,174
7,160,2,0,0,175
7,162,2,0,0,176
4,0,0,0,0,177
5,0,0,0,0,178
6,0,0,0,0,179
7,164,1,0,0,180
7,165,2,0,0,181
6,0,0,0,0,182
7,167,2,0,0,183
7,169,2,0,0,184
5,0,0,0,0,185
6,0,0,0,0,186
7,171,2,0,0,187
7,173,2,0,0,188
6,0,0,0,0,189
7,175,2,0,0,190
7,177,2,0,0,191
2,0,0,360000,168788,192
3,0,0,328050,159362,193
4,0,0,26390,7501,194
5,0,0,0,0,195
6,0,0,0,0,196
7,179,1,0,0,197
7,180,2,0,0,198
6,0,0,0,0,199
7,182,2,0,0,200
7,184,2,0,0,201
5,0,0,26390,7501,202
6,0,0,17952,7501,203
7,186,2,3,0,204
7,188,2,17952,7501,205
6,0,0,0,0,206
7,190,2,0,0,207
7,192,2,0,0,208
4,0,0,328050,151861,209
5,0,0,68972,36363,210
6,0,0,44863,16315,211
7,194,1,3351,2058,212
7,195,2,41456,14257,213
6,0,0,41329,26807,214
7,197,2,8186,4466,215
7,199,2,34548,23089,216
5,0,0,328050,115498,217
6,0,0,191716,60389,218
7,201,2,140704,56780,219
7,203,2,66845,3609,220
6,0,0,182215,63976,221
7,205,2,98205,63976,222
7,207,2,0,0,223
3,0,0,11315,9426,224
4,0,0,11283,9426,225
5,0,0,0,0,226
6,0,0,0,0,227
7,209,1,0,0,228
7,210,2,0,0,229
6,0,0,0,0,230
7,212,2,0,0,231
7,214,2,0,0,232
5,0,0,11283,9426,233
6,0,0,9426,9426,234
7,216,2,37,0,235
7,218,2,9426,9426,236
6,0,0,0,0,237
7,220,2,0,0,238
7,222,2,0,0,239
4,0,0,0,0,240
5,0,0,0,0,241
6,0,0,0,0,242
7,224,1,0,0,243
7,225,2,0,0,244
6,0,0,0,0,245
7,227,2,0,0,246
7,229,2,0,0,247
5,0,0,0,0,248
6,0,0,0,0,249
7,231,2,0,0,250
7,233,2,0,0,251
6,0,0,0,0,252
7,235,2,0,0,253
7,237,2,0,0,254
